service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0+a5","1","1","1","1","0","0","0","20230103","20230127"
"T0+a5_1","1","1","1","1","0","0","0","20230128","20230402"
"T0+a6","0","0","0","0","1","0","0","20230103","20230127"
"T0+a6_1","0","0","0","0","1","0","0","20230128","20230402"
"T2","0","0","0","0","0","1","0","20221231","20221231"
"T2_1","0","0","0","0","0","1","0","20230103","20230127"
"T2_2","0","0","0","0","0","1","0","20230128","20230402"
"T6","0","0","0","0","1","0","0","20221230","20221230"
"UJ","0","0","0","0","0","0","1","20230103","20230127"
"UJ_1","0","0","0","0","0","0","1","20230128","20230402"
"UX","0","0","0","0","0","0","1","20230101","20230101"
"UZ","1","0","0","0","0","0","0","20230102","20230102"
