,stop_id,stop_name,stop_lat,stop_lon,suburb
0,15351,Sunbury Railway Station (Sunbury),-37.5790909705787,144.727318781329,Sunbury
1,15353,Diggers Rest Railway Station (Diggers Rest),-37.6270165149357,144.719922441113,Diggers Rest
2,19827,Stony Point Railway Station (Crib Point),-38.3742345364937,145.221837462187,Crib Point
3,19828,Crib Point Railway Station (Crib Point),-38.3661233827862,145.204043321601,Crib Point
4,19829,Morradoo Railway Station (Crib Point),-38.3540333365844,145.189602487712,Crib Point
5,19830,Bittern Railway Station (Bittern),-38.3373903202406,145.178026527511,Bittern
6,19831,Hastings Railway Station (Hastings),-38.3056585273722,145.185979882012,Hastings
7,19832,Tyabb Railway Station (Tyabb),-38.2598150046916,145.186400708984,Tyabb
8,19833,Somerville Railway Station (Somerville),-38.2253419593114,145.1762449189,Somerville
9,19834,Baxter Railway Station (Baxter),-38.1940430573051,145.160526087615,Baxter
10,19835,Glen Iris Railway Station (Glen Iris),-37.8593084165858,145.058224898221,Glen Iris
11,19836,Leawarra Railway Station (Frankston),-38.1520339975222,145.139533963382,Frankston
12,19837,Darling Railway Station (Malvern East),-37.8689568446092,145.062950826245,Malvern East
13,19838,East Malvern Railway Station (Malvern East),-37.8769300156728,145.0693930023,Malvern East
14,19839,Holmesglen Railway Station (Malvern East),-37.8744022200498,145.090662027436,Malvern East
15,19840,Jordanville Railway Station (Mount Waverley),-37.8736033933188,145.112090156436,Mount Waverley
16,19841,Flagstaff Railway Station (Melbourne City),-37.8119813073807,144.955653760429,Melbourne City
17,19842,Melbourne Central Railway Station (Melbourne City),-37.8099387667386,144.962593535096,Melbourne City
18,19843,Parliament Railway Station (Melbourne City),-37.8110540555305,144.972910916416,Melbourne City
19,19844,Belgrave Railway Station (Belgrave),-37.9091020974712,145.355291282858,Belgrave
20,19845,Tecoma Railway Station (Tecoma),-37.9081184864021,145.342994577662,Tecoma
21,19846,Upwey Railway Station (Upwey),-37.9036909717454,145.331333355214,Upwey
22,19847,Alamein Railway Station (Ashburton),-37.8683203919866,145.079655668512,Ashburton
23,19848,Ashburton Railway Station (Ashburton),-37.8619675331692,145.081343759057,Ashburton
24,19849,Burwood Railway Station (Glen Iris),-37.8515632823172,145.080511068965,Glen Iris
25,19850,Hartwell Railway Station (Camberwell),-37.8439845657174,145.075559591232,Camberwell
26,19851,Willison Railway Station (Camberwell),-37.8357156505359,145.070297555357,Camberwell
27,19852,Riversdale Railway Station (Camberwell),-37.8315054341723,145.069645982205,Camberwell
28,19853,Camberwell Railway Station (Camberwell),-37.8265671441669,145.058697177155,Camberwell
29,19854,Flinders Street Railway Station (Melbourne City),-37.8183051340585,144.966964346166,Melbourne City
30,19855,Frankston Railway Station (Frankston),-38.1429900671654,145.126162282251,Frankston
31,19856,Kananook Railway Station (Seaford),-38.121742033539,145.13529534058,Seaford
32,19857,Seaford Railway Station (Seaford),-38.104021039668,145.128230402217,Seaford
33,19858,Carrum Railway Station (Carrum),-38.0765036140059,145.122833083083,Carrum
34,19859,Bonbeach Railway Station (Bonbeach),-38.0650770377135,145.120024795424,Bonbeach
35,19860,Chelsea Railway Station (Chelsea),-38.0533256255246,145.11663300748,Chelsea
36,19861,Edithvale Railway Station (Edithvale),-38.0360625622791,145.107299317273,Edithvale
37,19862,Aspendale Railway Station (Aspendale),-38.0272201944523,145.102149616841,Aspendale
38,19863,Mordialloc Railway Station (Mordialloc),-38.0065829507618,145.08765935746,Mordialloc
39,19864,Parkdale Railway Station (Parkdale),-37.9930788207759,145.076326823728,Parkdale
40,19865,Mentone Railway Station (Mentone),-37.9829693855469,145.065990823813,Mentone
41,19866,Cheltenham Railway Station (Cheltenham),-37.9666498944342,145.054557933026,Cheltenham
42,19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),-37.8926717009388,145.307530188155,Upper Ferntree Gully
43,19868,Ferntree Gully Railway Station (Ferntree Gully),-37.8816979923577,145.295251256598,Ferntree Gully
44,19869,Boronia Railway Station (Boronia),-37.8604517998444,145.28438514597,Boronia
45,19870,Bayswater Railway Station (Bayswater),-37.8417300410993,145.268136389217,Bayswater
46,19871,Heathmont Railway Station (Heathmont),-37.8283222725383,145.244555375848,Heathmont
47,19872,Highett Railway Station (Highett),-37.9484250041841,145.041871797791,Highett
48,19873,Glen Waverley Railway Station (Glen Waverley),-37.8795040720089,145.162057549621,Glen Waverley
49,19874,Syndal Railway Station (Glen Waverley),-37.8762296254895,145.149780487778,Glen Waverley
50,19875,Mount Waverley Railway Station (Mount Waverley),-37.8752552557019,145.128055695744,Mount Waverley
51,19876,Lilydale Railway Station (Lilydale),-37.7572214858065,145.34581071753,Lilydale
52,19877,Mooroolbark Railway Station (Mooroolbark),-37.7847488250808,145.312402399118,Mooroolbark
53,19878,Croydon Railway Station (Croydon),-37.7954369700624,145.280597770769,Croydon
54,19879,Ringwood East Railway Station (Ringwood East),-37.811968042776,145.250190905264,Ringwood East
55,19880,Pakenham Railway Station (Pakenham),-38.0806139738066,145.486379074704,Pakenham
56,19881,Officer Railway Station (Officer),-38.0661457168648,145.41098723091,Officer
57,19882,Beaconsfield Railway Station (Beaconsfield),-38.0508313517826,145.366073739227,Beaconsfield
58,19883,Berwick Railway Station (Berwick),-38.0404082904993,145.345726085505,Berwick
59,19884,Narre Warren Railway Station (Narre Warren),-38.0278093151679,145.303969385674,Narre Warren
60,19885,Hallam Railway Station (Hallam),-38.0177403817805,145.269776796453,Hallam
61,19886,Cranbourne Railway Station (Cranbourne),-38.0995373065849,145.280598975647,Cranbourne
62,19887,Merinda Park Railway Station (Cranbourne North),-38.0790004761497,145.263511372935,Cranbourne North
63,19888,Dandenong Railway Station (Dandenong),-37.9899679153812,145.209725368166,Dandenong
64,19889,Yarraman Railway Station (Noble Park),-37.9782545359253,145.191600276299,Noble Park
65,19890,Noble Park Railway Station (Noble Park),-37.9666276767387,145.176324599832,Noble Park
66,19891,Sandown Park Railway Station (Springvale),-37.9565045698556,145.162825890396,Springvale
67,19892,East Camberwell Railway Station (Camberwell),-37.8258941905331,145.06819024741,Camberwell
68,19893,Canterbury Railway Station (Canterbury),-37.8244851789179,145.081224242904,Canterbury
69,19894,Chatham Railway Station (Surrey Hills),-37.8242995185069,145.088647930425,Surrey Hills
70,19895,Surrey Hills Railway Station (Surrey Hills),-37.8241480549092,145.098774680388,Surrey Hills
71,19896,Mont Albert Railway Station (Mont Albert),-37.8194265458808,145.105530369113,Mont Albert
72,19897,Laburnum Railway Station (Blackburn),-37.8207802338117,145.140702708531,Blackburn
73,19898,Blackburn Railway Station (Blackburn),-37.8200707463673,145.150013542281,Blackburn
74,19899,Nunawading Railway Station (Nunawading),-37.8204282805569,145.175236853013,Nunawading
75,19900,Mitcham Railway Station (Mitcham),-37.8180870551936,145.192891813036,Mitcham
76,19901,Heatherdale Railway Station (Ringwood),-37.8188348484368,145.213549822481,Ringwood
77,19902,Ringwood Railway Station (Ringwood),-37.8156597652712,145.229473723591,Ringwood
78,19903,Auburn Railway Station (Hawthorn East),-37.8223983064618,145.04584365713,Hawthorn East
